"","taxon","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1","Abronia latifolia",8.723171771,12.29882235,0.418967801,58.46498935,25.500115,-3.513101069,29.01321607,2.356050087,15.75231483,16.43510584,1.676904894,1019.292304,163.6741343,20.6139316,58.44861365,463.0260658,81.84045317,92.29575365,430.9505303
"2","Abronia pogonantha",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
"3","Abronia umbellata",11.19773226,12.68727654,0.4410421944,55.61816603,27.43811971,-0.9096547731,28.34777448,5.973245519,17.5654942,18.55712046,4.54844274,1021.108948,168.3915466,17.0234735,66.49424622,474.5494922,71.2749994,86.51436636,440.741309
"4","Abronia villosa",18.65376633,16.03329687,0.4604263299,68.75956023,36.92501094,2.0922673,34.83274364,20.60590111,21.80593549,27.56679065,10.10077202,275.4145152,57.60883291,3.286303682,65.02091017,139.513565,17.422673,99.68684753,78.0525411
"5","Allionia incarnata",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
"6","Boerhavia coccinea",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
"7","Boerhavia diffusa",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
"8","Boerhavia erecta",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
"9","Mirabilis bigelovii",15.36473054,16.45839885,0.4425408596,73.72162694,35.17866372,-1.790027529,36.96869125,17.12044096,18.54370427,25.0346792,6.261446889,267.4163091,46.25547481,6.006200243,49.66719575,113.7106967,26.72079065,81.23558443,76.63954267
"10","Mirabilis greenei",12.74099595,15.82258251,0.4643312102,63.25955414,32.65616676,-1.081991893,33.73815866,5.428199189,20.99629415,21.03236827,5.147944412,855.865663,158.2582513,4.700057904,76.63462652,433.268674,29.86508396,31.77880718,419.9808917
"11","Mirabilis hirsuta",7.557251387,12.90790114,0.3067718559,100.6856048,28.44033345,-13.41151042,41.85184387,17.08764905,-3.792430217,20.08154548,-5.926820718,744.5517028,95.32836404,33.54806588,38.53231949,262.661126,114.6495957,245.7102577,121.1433204
"12","Mirabilis jalapa",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
"13","Mirabilis multiflora",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
"14","Phytolacca americana",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
"15","Phytolacca dioica",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
"16","Phytolacca rivinoides",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
"17","Rivina humilis",14.2744952,15.45127461,0.4638814572,63.74300269,32.91579169,-0.538709406,33.45450109,9.013435975,19.93716978,22.71335184,6.556141679,397.3715716,73.0303298,3.233215548,65.40922093,196.8235319,16.23939929,25.01055864,192.0403416
